"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
114,"North Rd, 292","635",-45.8484308,170.5315125,"5900_2F"
115,"Macandrew Rd, 282","504",-45.9021347,170.4870047,"5900_2B"
116,"North Rd, 338","648",-45.8470783,170.5349736,"5900_2F"
118,"North Rd, 374","647",-45.8459278,170.5369206,"5900_2F"
119,"Taieri Rd, 198","976",-45.8621306,170.4803728,"5900_2E"
120,"North Rd, 392","639",-45.8452214,170.5381217,"5900_2F"
121,"Taieri Rd, 240","965",-45.8598514,170.4784364,"5900_2E"
122,"Andersons Bay Rd, 393","17",-45.8944844,170.5047739,"5900_2A"
123,"North Rd, 117","627",-45.8517478,170.5236686,"5900_2F"
124,"Normanby Terminus","658",-45.8433247,170.5411564,"5900_2F"
125,"Prince Albert Rd, 50","766",-45.9011369,170.5049258,"5900_2B"
126,"Taieri Rd, 372","970",-45.8561883,170.4711678,"5900_2E"
127,"George St, 472","308",-45.8667417,170.5077989,"5900_1"
128,"George St, 745","296",-45.8614853,170.5106467,"5900_1"
129,"Stuart St, cnr Tyne Street","952",-45.8662406,170.4898489,"5900_1/2D"
130,"Taieri Rd, 178","963",-45.8629314,170.4816525,"5900_2E"
131,"Forbury Rd, 198","278",-45.9090861,170.4883556,"5900_2B"
132,"George St, 77-79","298",-45.8176456,170.6191297,"5900_3E"
133,"Ross St, 34","816",-45.8713619,170.4845522,"5900_2E"
134,"Stanley St, 8","929",-45.8849417,170.4745042,"5900_2D"
135,"Kaikorai Valley College, Gymnasium Complex","1088",-45.8829539,170.4668394,"5900_2D"
136,"Kenmure Rd, 332","471",-45.8857858,170.4670394,"5900_2D"
137,"Main South Rd, 115","532",-45.9021503,170.4434039,"5900_2C"
138,"Main South Rd, 208","537",-45.9019317,170.4297222,"5900_2C"
139,"Stanley St, 39","927",-45.8844811,170.4719822,"5900_2D"
140,"Mitchell Ave, 5","589",-45.8879358,170.4744897,"5900_2D"
141,"Musselburgh Rise, 192","612",-45.8963042,170.5243083,"5900_2A"
142,"Cavell St, 112","172",-45.9022003,170.5222592,"5900_2A"
143,"Cavell St, 94","177",-45.9016186,170.5212594,"5900_2A"
144,"Hospital North","1194",-45.869508,170.507759,"5900_1"
145,"Main South Rd, 133","536",-45.9018525,170.4410414,"5900_2C"
146,"York Place, 125","1025",-45.8725578,170.4988283,"5900_1"
147,"Jervois St, cnr Crawford St","1182",-45.882782,170.500934,"5900_1"
148,"Prince Albert, 92","762",-45.9030536,170.5065467,"5900_2B"
149,"Macandrew Rd opposite Kirkcaldy St","495",-45.8993703,170.4937569,"5900_2B"
